metric,expected,actual,drift_abs,tolerance,within_tolerance,drift_flag,note
fill_rate,0.9,0.0,0.9,0.05,False,True,
win_rate,0.5,0.0,0.5,0.08,False,True,
profit_factor,1.1,0.0,1.1,0.2,False,True,
avg_slippage_pct,0.0025,0.0,0.0025,0.001,False,True,
avg_fee_per_trade,0.05,0.0,0.05,0.25,True,False,
realized_pnl,0.0,0,0.0,250.0,True,False,
closed_trade_count,20,0,20.0,5.0,False,True,
